year,trend,tech,phase
2016.26,77,GCD,P
2015.35,91,MDC,P
2016.295,83,MDC,P
2014.191,62,SR,I
2015.153,52,SR,I
2016.341,90,SR,P
2017.365,93,SR,P
2016.386,95,B,P
2017.712,82,B,P
2014.074,27,CH,I
2015.181,59,CH,I
2016.43,98,CH,P
2017.46,99,CH,P
2016.46,99,CEA,P
2017.813,61,CEA,T
2015.65,91,ML,P
2016.5,100,ML,P
2017.558,99,ML,P
2015.25,75,SDS,I
2016.614,95,SDS,P
2017.938,23,SDS,T
2010.146,50,AV,I
2012.194,63,AV,I
2013.214,67,AV,I
2014.4,96,AV,P
2015.5,100,AV,P
2016.66,90,AV,P
2017.596,96,AV,P
2016.7,84,NE,P
2017.635,93,NE,P
2016.75,75,SDx,P
